0x4A21 伽
0x4A22 佳
0x4A23 假
0x4A24 價
0x4A25 加
0x4A26 可
0x4A27 呵
0x4A28 哥
0x4A29 嘉
0x4A2A 嫁
0x4A2B 家
0x4A2C 暇
0x4A2D 架
0x4A2E 枷
0x4A2F 柯
0x4A30 歌
0x4A31 珂
0x4A32 痂
0x4A33 稼
0x4A34 苛
0x4A35 茄
0x4A36 街
0x4A37 袈
0x4A38 訶
0x4A39 賈
0x4A3A 跏
0x4A3B 軻
0x4A3C 迦
0x4A3D 駕
0x4A3E 刻
0x4A3F 却
0x4A40 各
0x4A41 恪
0x4A42 慤
0x4A43 殼
0x4A44 珏
0x4A45 脚
0x4A46 覺
0x4A47 角
0x4A48 閣
0x4A49 侃
0x4A4A 刊
0x4A4B 墾
0x4A4C 奸
0x4A4D 姦
0x4A4E 干
0x4A4F 幹
0x4A50 懇
0x4A51 揀
0x4A52 杆
0x4A53 柬
0x4A54 桿
0x4A55 澗
0x4A56 癎
0x4A57 看
0x4A58 磵
0x4A59 稈
0x4A5A 竿
0x4A5B 簡
0x4A5C 肝
0x4A5D 艮
0x4A5E 艱
0x4A5F 諫
0x4A60 間
0x4A61 乫
0x4A62 喝
0x4A63 曷
0x4A64 渴
0x4A65 碣
0x4A66 竭
0x4A67 葛
0x4A68 褐
0x4A69 蝎
0x4A6A 鞨
0x4A6B 勘
0x4A6C 坎
0x4A6D 堪
0x4A6E 嵌
0x4A6F 感
0x4A70 憾
0x4A71 戡
0x4A72 敢
0x4A73 柑
0x4A74 橄
0x4A75 減
0x4A76 甘
0x4A77 疳
0x4A78 監
0x4A79 瞰
0x4A7A 紺
0x4A7B 邯
0x4A7C 鑑
0x4A7D 鑒
0x4A7E 龕
0x4B21 匣
0x4B22 岬
0x4B23 甲
0x4B24 胛
0x4B25 鉀
0x4B26 閘
0x4B27 剛
0x4B28 堈
0x4B29 姜
0x4B2A 岡
0x4B2B 崗
0x4B2C 康
0x4B2D 强
0x4B2E 彊
0x4B2F 慷
0x4B30 江
0x4B31 畺
0x4B32 疆
0x4B33 糠
0x4B34 絳
0x4B35 綱
0x4B36 羌
0x4B37 腔
0x4B38 舡
0x4B39 薑
0x4B3A 襁
0x4B3B 講
0x4B3C 鋼
0x4B3D 降
0x4B3E 鱇
0x4B3F 介
0x4B40 价
0x4B41 個
0x4B42 凱
0x4B43 塏
0x4B44 愷
0x4B45 愾
0x4B46 慨
0x4B47 改
0x4B48 槪
0x4B49 漑
