아	ᄀᄂᄃᄅᄆᄉᄋᄌᄎᄐᄑᄒ
악	ᄀᄂᄅᄆᄇᄉᄋᄌᄎᄐᄒ
안	ᄀᄂᄃᄅᄆᄇᄉᄋᄌᄎᄐᄑᄒ
알	ᄀᄂᄃᄅᄆᄇᄉᄋᄎᄐᄑᄒ
암	ᄀᄂᄃᄅᄉᄋᄌᄎᄐᄒ
압	ᄀᄂᄃᄅᄉᄋᄌᄐᄒ
앙	ᄀᄂᄃᄅᄆᄇᄉᄊᄋᄌᄎᄐᄒ
애	ᄀᄂᄃᄅᄆᄇᄉᄋᄌᄎᄐᄑᄒ
액	ᄀᄃᄆᄇᄉᄋᄎᄐᄒ
앵	ᄀᄂᄅᄆᄉᄋᄌᄐᄑᄒ
야	ᄋ
약	ᄀᄅᄋᄑ
양	ᄅᄋᄒ
어	ᄀᄉᄋᄌᄎᄐᄒ
억	ᄃᄉᄋᄌᄎ
언	ᄀᄇᄉᄋᄌᄎᄒ
얼	ᄀᄇᄉᄋᄌᄎᄒ
엄	ᄀᄇᄉᄋᄌᄎᄒ
업	ᄀᄇᄉᄋᄌᄎ
엉	ᄉᄌᄎ
에	ᄀᄉᄌᄎ
엔	ᄋ
여	ᄂᄅᄋ
역	ᄀᄅᄆᄇᄋᄒ
연	ᄀᄂᄅᄆᄇᄋᄑᄒ
열	ᄀᄅᄆᄇᄋᄒ
염	ᄀᄂᄅᄋᄑᄒ
엽	ᄅᄋᄒ
영	ᄀᄂᄅᄆᄇᄋᄑᄒ
예	ᄀᄅᄆᄋᄑᄒ
오	ᄀᄂᄃᄅᄆᄇᄉᄋᄌᄎᄐᄑᄒ
옥	ᄀᄂᄃᄅᄆᄇᄉᄋᄌᄎᄑᄒ
온	ᄀᄂᄃᄅᄇᄉᄋᄌᄎᄒ
올	ᄀᄃᄆᄇᄉᄋᄌᄒ
옹	ᄀᄂᄃᄅᄆᄇᄉᄋᄌᄎᄐᄒ
옺	ᄀ
와	ᄀᄋᄌᄒ
왁	ᄀᄒ
완	ᄀᄋᄒ
왈	ᄀᄋᄎᄒ
왕	ᄀᄋᄒ
왜	ᄀᄉᄋᄏ
외	ᄀᄂᄅᄉᄋᄌᄎᄐᄒ
왹	ᄒ
욍	ᄀᄒ
요	ᄀᄂᄅᄆᄋᄑᄒ
욕	ᄋ
용	ᄅᄋ
우	ᄀᄂᄃᄅᄆᄇᄉᄋᄌᄎᄐᄒ
욱	ᄀᄆᄇᄉᄋᄌᄎ
운	ᄀᄂᄃᄆᄇᄉᄋᄌᄎᄒ
울	ᄀᄂᄆᄇᄉᄋᄌᄎ
움	ᄑ
웅	ᄀᄇᄉᄋᄌᄎᄑᄒ
원	ᄀᄋᄒ
월	ᄀᄋ
웨	ᄀᄎᄒ
위	ᄀᄋᄎᄒ
유	ᄀᄂᄅᄋᄒ
육	ᄅᄋ
윤	ᄀᄅᄋ
율	ᄀᄅᄋᄒ
융	ᄅᄋᄒ
윽	ᄀᄂᄃᄅᄌᄎᄐᄒ
은	ᄀᄋᄒ
을	ᄀᄉᄋᄌᄒ
음	ᄀᄂᄅᄋᄐᄒ
읍	ᄀᄉᄋᄌᄒ
응	ᄀᄂᄃᄅᄉᄋᄌᄎᄒ
의	ᄋᄒ
이	ᄀᄂᄅᄆᄇᄉᄊᄋᄌᄎᄑ
익	ᄁᄂᄉᄋᄌᄎ
인	ᄀᄅᄆᄇᄉᄋᄌᄎ
일	ᄀᄆᄉᄋᄌᄎᄑᄒ
임	ᄀᄅᄉᄋᄌᄎ
입	ᄅᄉᄋᄌᄎᄑ
잉	ᄇᄋᄌᄎ
